"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
1,"http://bbs.cehome.com/thread-614565-1-1.html","挖掘机专区","我爱我挖","求购精品小挖，纯进口，合资机优先！","打算最近买台小挖，在农村做事。型号不能小于70，车况要好，有合适的吗？万一没有打算前往深圳二手机械市场！","青春的奔跑","2016-1-3 22:17:35","[提车作业]","求购 精品 小挖 进口 合资 优先 打算 最近 小挖 农村 做事 型号 不能 小于 车况 要好 合适 万一 没有 打算 前往 深圳 二手 机械 市场"
2,"http://bbs.cehome.com/thread-614461-1-1.html","挖掘机专区","杂谈图库","本人系最近想求购一台，200型挖掘机","本人最近想求购一台200型挖掘机30万左右请大家给推荐一下沃尔沃210这个车怎么样？","哇哇咖","2016-1-3 18:25:25","[生活杂谈]","本人 最近 求购 一台 挖掘机 本人 最近 求购 一台 挖掘机 左右 大家 推荐 一下 沃尔沃 这个 怎么样"
3,"http://bbs.cehome.com/thread-614439-1-1.html","挖掘机专区","选购询价","乌鲁木齐求购二手挖机一台","本人真心求购一台个人二手小挖机、三一65-9/75-9、其他品牌也行、时间最好不要超过4000小时的、贩子勿扰、翻新机勿扰！","成勇","2016-1-3 17:12:42","[6-12吨]","乌鲁木齐 求购 二手 挖机 一台 本人 真心 求购 一台 个人 二手 小挖 三一 其他 品牌 也行 时间 最好 不要 超过 小时 贩子 勿扰 翻新 勿扰"
4,"http://bbs.cehome.com/thread-614407-1-1.html","挖掘机专区","选购询价","求购三一65","最好是法勿机求浙江地区或者安徽三一代理","铁甲王子韩","2016-1-3 14:41:02","[6-12吨]","求购 三一 最好 浙江 地区 或者 安徽 三一 代理"
5,"http://bbs.cehome.com/thread-614395-1-1.html","挖掘机专区","选购询价","求购一台35万左右的小松200-8。","翻新的漏油的勿扰","和√悦","2016-1-3 13:29:51","[13-20吨]","求购 一台 左右 小松 翻新 漏油 勿扰"
6,"http://bbs.cehome.com/thread-614393-1-1.html","挖掘机专区","选购询价","求购55或60小挖","买来自己用，车况要好，最好是山东的,电话15169663891","半支烟的烟","2016-1-3 13:17:46","[5吨以下]","求购 小挖 买来 自己 车况 要好 最好 山东 电话"
7,"http://bbs.cehome.com/thread-614378-1-1.html","挖掘机专区","选购询价","求购小挖掘机","车况好点，30-55的都行，价格3-5万元的","大佛粉丝","2016-1-3 12:02:01","[5吨以下]","求购 小挖 车况 好点 都行 价格 万元"
8,"http://bbs.cehome.com/thread-614285-1-1.html","","","","","","","",""
9,"http://bbs.cehome.com/thread-614281-1-1.html","挖掘机专区","选购询价","求购","有没有卡特机子11年的，价格35w","半世","2016-1-2 22:52:06","[21-30吨]","求购 有没有 卡特 机子 价格"
10,"http://bbs.cehome.com/thread-614219-1-1.html","挖掘机专区","选购询价","求购","求购卡特320，住友200a3.","soupwei429","2016-1-2 19:42:43","[21-30吨]","求购 求购 卡特 住友"
11,"http://bbs.cehome.com/thread-614116-1-1.html","挖掘机专区","我爱我挖","求购小挖","10年以后的小挖机","小邱865713520","2016-1-2 11:09:39","[操作技巧]","求购 小挖 以后 小挖"
12,"http://bbs.cehome.com/thread-614106-1-1.html","挖掘机专区","选购询价","求购久保田15一3s","本来想去深圳看机，水太深啦！！！！，还是在铁甲里找个人机较好，微号：GT60576","格大班","2016-1-2 10:33:53","[5吨以下]","求购 久保田 本来 想去 深圳 太深 还是 铁甲 个人 较好"
13,"http://bbs.cehome.com/thread-614103-1-1.html","挖掘机专区","选购询价","安徽求购精品小挖一台，小松，卡特，日力","一手机，，，欢迎机主来电，13856299591","13856299591","2016-1-2 10:22:50","[6-12吨]","安徽 求购 精品 小挖 一台 小松 卡特 一手 欢迎 机主 来电"
14,"http://bbs.cehome.com/thread-614086-1-1.html","挖掘机专区","选购询价","广东省内求台80机","牌子不限，性能可靠，无暗病，价格合理。最好已改好能装抓木器的。有的话上图报价留电话。","乘风乘龙","2016-1-2 08:28:12","[6-12吨]","广东省 牌子 不限 性能 可靠 暗病 价格合理 最好 改好 木器 有的 上图 报价 留电话"
15,"http://bbs.cehome.com/thread-614065-1-1.html","挖掘机专区","选购询价","求购","想买台100--150的机子","钦州小吴","2016-1-1 23:48:25","[13-20吨]","求购 想买 机子"
